Day Count,Date,Alberta Health Services Zone,Case Count,Death Count
102,6/15/2020,Edmonton Zone,733,14
102,6/15/2020,North Zone,264,15
102,6/15/2020,South Zone,1274,10
102,6/15/2020,Unknown,12,0
103,6/16/2020,Calgary Zone,4998,111
103,6/16/2020,Central Zone,87,0
103,6/16/2020,Edmonton Zone,747,14
103,6/16/2020,North Zone,268,15
103,6/16/2020,South Zone,1281,10
103,6/16/2020,Unknown,13,0
104,6/17/2020,Calgary Zone,5019,111
104,6/17/2020,Central Zone,87,0
104,6/17/2020,Edmonton Zone,768,14
104,6/17/2020,North Zone,275,15
104,6/17/2020,South Zone,1284,10
104,6/17/2020,Unknown,13,0
105,6/18/2020,Calgary Zone,5035,111
105,6/18/2020,Central Zone,87,0
105,6/18/2020,Edmonton Zone,794,14
105,6/18/2020,North Zone,275,15
105,6/18/2020,South Zone,1284,10
105,6/18/2020,Unknown,13,0
106,6/19/2020,Calgary Zone,5055,111
106,6/19/2020,Central Zone,88,0
106,6/19/2020,Edmonton Zone,823,14
106,6/19/2020,North Zone,275,15
106,6/19/2020,South Zone,1285,10
106,6/19/2020,Unknown,13,0
107,6/20/2020,Calgary Zone,5072,111
107,6/20/2020,Central Zone,88,0
107,6/20/2020,Edmonton Zone,846,15
107,6/20/2020,North Zone,277,15
107,6/20/2020,South Zone,1285,10
107,6/20/2020,Unknown,13,0
108,6/21/2020,Calgary Zone,5077,111
108,6/21/2020,Central Zone,88,0
108,6/21/2020,Edmonton Zone,857,15
108,6/21/2020,North Zone,277,15
108,6/21/2020,South Zone,1285,10
108,6/21/2020,Unknown,13,0
109,6/22/2020,Calgary Zone,5104,111
109,6/22/2020,Central Zone,88,0
109,6/22/2020,Edmonton Zone,883,15
109,6/22/2020,North Zone,279,15
109,6/22/2020,South Zone,1287,10
109,6/22/2020,Unknown,13,0
110,6/23/2020,Calgary Zone,5113,111
110,6/23/2020,Central Zone,88,0
110,6/23/2020,Edmonton Zone,910,15
110,6/23/2020,North Zone,285,15
110,6/23/2020,South Zone,1289,10
110,6/23/2020,Unknown,13,0
111,6/24/2020,Calgary Zone,5124,111
111,6/24/2020,Central Zone,88,0
111,6/24/2020,Edmonton Zone,920,15
111,6/24/2020,North Zone,289,15
111,6/24/2020,South Zone,1291,10
111,6/24/2020,Unknown,13,0
112,6/25/2020,Calgary Zone,5132,111
112,6/25/2020,Central Zone,89,0
112,6/25/2020,Edmonton Zone,942,15
112,6/25/2020,North Zone,290,15
112,6/25/2020,South Zone,1293,10
112,6/25/2020,Unknown,13,0
113,6/26/2020,Calgary Zone,5143,111
113,6/26/2020,Central Zone,89,0
113,6/26/2020,Edmonton Zone,959,15
113,6/26/2020,North Zone,301,15
113,6/26/2020,South Zone,1301,10
113,6/26/2020,Unknown,13,0
114,6/27/2020,Calgary Zone,5178,111
114,6/27/2020,Central Zone,89,0
114,6/27/2020,Edmonton Zone,982,15
114,6/27/2020,North Zone,304,15
114,6/27/2020,South Zone,1301,10
114,6/27/2020,Unknown,13,0
115,6/28/2020,Calgary Zone,5192,111
115,6/28/2020,Central Zone,90,0
115,6/28/2020,Edmonton Zone,1015,15
115,6/28/2020,North Zone,304,15
115,6/28/2020,South Zone,1305,10
115,6/28/2020,Unknown,13,0
116,6/29/2020,Calgary Zone,5225,111
116,6/29/2020,Central Zone,91,0
116,6/29/2020,Edmonton Zone,1028,15
116,6/29/2020,North Zone,309,15
116,6/29/2020,South Zone,1309,10
116,6/29/2020,Unknown,14,0
117,6/30/2020,Calgary Zone,5352,112
117,6/30/2020,Central Zone,93,1
117,6/30/2020,Edmonton Zone,1028,15
117,6/30/2020,North Zone,312,16
117,6/30/2020,South Zone,1309,10
117,6/30/2020,Unknown,14,0
